UniProt	GeneSym
Q6UXV0	GFRAL
A1L429	GAGE12B
P0CL80	GAGE12F
P0CL82	GAGE12I
A6NER3	GAGE12J
Q8N9W4	GOLGA6L2
A6NEY3	GOLGA6L3
A6NEF3	GOLGA6L4
A8MZA4	GOLGA6L6
A0A1B0GV03	GOLGA6L7
A6NEM1	GOLGA6L9
A6NI86	GOLGA6L10
H0YKK7	GOLGA6L19
H0YM25	GOLGA6L22
Q9UJY5	GGA1
Q9HBQ8	GOLGA2P5
Q9UJY4	GGA2
Q9NZ52	GGA3
Q9BVM4	GGACT
O75223	GGCT
Q9UEU5	GAGE2D
Q5JRK9	PAGE2B
Q92820	GGH
Q5YKI7	GGNBP1
Q9H3C7	GGNBP2
A6NGU5	GGT3P
Q9H3K2	GHITM
P18146	EGR1
Q14152	EIF3A
Q6UWR7	ENPP6
Q8IYW4	ENTHD1
Q13822	ENPP2
Q6UW88	EPGN
Q99645	EPYC
Q9NQ60	EQTN
A6NHQ4	EPOP
P19235	EPOR
P01588	EPO
Q9UHW5	GPN3
Q14956	GPNMB
P60509	ERVPABLB-1
P04626	ERBB2
O14944	EREG
P62495	ETF1
P24390	KDELR1
Q8IYD1	GSPT2
P33947	KDELR2
Q7L7V1	DHX32
Q00796	SORD
Q9Y5R6	DMRT1
Q9Y222	DMTF1
O95620	DUS4L
A8MPY1	GABRR3
Q16828	DUSP6
Q9BY84	DUSP16
Q96CN9	GCC1
Q9H596	DUSP21
P33316	DUT
O43812	DUX1
P0DPD8	EEF1AKMT4-ECE2
Q8IY85	EFCAB13
O14681	EI24
Q9UHF1	EGFL7
P41214	EIF2D
Q13144	EIF2B5
P41567	EIF1
P55199	ELL
O95163	ELP1
Q14576	ELAVL3
Q9H9T3	ELP3
Q96EB1	ELP4
Q5MY95	ENTPD8
Q9Y5R5	DMRT2
Q9Y2H0	DLGAP4
Q4LDG9	DNAL1
P24855	DNASE1
Q7Z5Q5	POLN
O75417	POLQ
P54098	POLG
P06746	POLB
C9JQL5	null
Q8TD84	DSCAML1
P56555	DSCR4
P14867	GABRA1
P59022	DSCR10
Q02487	DSC2
Q9NZJ0	DTL
O14764	GABRD
Q99928	GABRG3
Q9H0R8	GABARAPL1
Q658K8	EEF1DP3
P35573	AGL
O95390	GDF11
Q96G04	EEF2KMT
Q9UK05	GDF2
Q5U4N7	GDF5OS
Q9BUY7	EFCAB11
Q6NXP0	EFCAB12
P60507	ERVFC1
P60608	ERVFC1-1
Q9HAE3	EFCAB1
P36268	GGT2
P36269	GGT5
Q6P531	GGT6
Q9UJ14	GGT7
P49411	TUFM
Q14232	EIF2B1
Q9Y6B2	EID1
O00472	ELL2
Q8TE02	ELP5
Q9HBU6	ETNK1
Q0PNE2	ELP6
Q9NX74	DUS2
Q16829	DUSP7
P51452	DUSP3
Q92947	GCDH
Q9NRW4	DUSP22
P16383	GCFC2
Q8IUX8	EGFL6
O15371	EIF3D
Q96KQ7	EHMT2
P17813	ENG
Q8IVV7	GID4
O75821	EIF3G
Q9HB65	ELL3
Q13347	EIF3I
Q3SY89	ELOA3B
Q9NVF9	ETNK2
Q8IZ81	ELMOD2
Q92556	ELMO1
Q15717	ELAVL1
P08246	ELANE
Q9GZR5	ELOVL4
Q9Y227	ENTPD4
Q9H2F5	EPC1
O95886	DLGAP3
P28067	HLA-DMA
Q9GZS0	DNAI2
Q8TDM6	DLG5
Q02742	GCNT1
O95395	GCNT3
